id,address,bedrooms,bathrooms,monthly_price,ber,category,daft_link,agent_name,has_video,has_virtual_tour,total_images,dublin_subcode
5876750,"Hali, Cherrywood, Dublin 18, Cherrywood, Co. Dublin",2.0,2.0,2575,A2,Rent,http://www.daft.ie/for-rent/apartment-2-bed-apartment-hali-cherrywood-dublin-18-cherrywood-co-dublin/5876750,The Hali Leasing Team.,False,False,21,18.0
3652581,"Hali, Cherrywood, Dublin 18, Cherrywood, Co. Dublin",3.0,2.0,3250,A2,Rent,http://www.daft.ie/for-rent/apartment-3-bedroom-apartment-hali-cherrywood-dublin-18-cherrywood-co-dublin/3652581,The Hali Leasing Team.,False,True,24,18.0
5439959,"Hali - FINAL PHASE - Talbot & Tully Buildings , Cherrywood, Dublin 18",1.0,,1950,A2,Rent,http://www.daft.ie/for-rent/studio-apartment-studio-hali-final-phase-talbot-tully-buildings-cherrywood-dublin-18/5439959,The Hali Leasing Team,False,False,13,18.0
5510411,"Hali - FINAL PHASE - Talbot & Tully Buildings , Cherrywood, Dublin 18",1.0,1.0,2200,A2,Rent,http://www.daft.ie/for-rent/apartment-1-bedroom-apartment-hali-final-phase-talbot-tully-buildings-cherrywood-dublin-18/5510411,The Hali Leasing Team,False,False,12,18.0
5439958,"Hali - FINAL PHASE - Talbot & Tully Buildings , Cherrywood, Dublin 18",2.0,2.0,2575,A2,Rent,http://www.daft.ie/for-rent/apartment-2-bed-apartment-hali-final-phase-talbot-tully-buildings-cherrywood-dublin-18/5439958,The Hali Leasing Team,False,False,12,18.0
5842914,"Hali - FINAL PHASE - Talbot & Tully Buildings , Cherrywood, Dublin 18",2.0,2.0,2575,A2,Rent,http://www.daft.ie/for-rent/apartment-2-bedroom-duplex-apartment-hali-final-phase-talbot-tully-buildings-cherrywood-dublin-18/5842914,The Hali Leasing Team,False,False,7,18.0
5510430,"Hali - FINAL PHASE - Talbot & Tully Buildings , Cherrywood, Dublin 18",3.0,2.0,3250,A2,Rent,http://www.daft.ie/for-rent/apartment-3-bedroom-apartment-hali-final-phase-talbot-tully-buildings-cherrywood-dublin-18/5510430,The Hali Leasing Team,False,False,13,18.0
5697464,"Node Dublin 7, Phibsborough, D07 V10E, Dublin 7",1.0,,1850,,Rent,http://www.daft.ie/for-rent/studio-apartment-cozy-studio-bills-included-node-dublin-7-phibsborough-d07-v10e-dublin-7/5697464,Node Dublin 7,True,True,14,7.0
5697468,"Node Dublin 7, Phibsborough, D07 V10E, Dublin 7",1.0,,1875,,Rent,http://www.daft.ie/for-rent/studio-apartment-comfy-studio-bills-included-node-dublin-7-phibsborough-d07-v10e-dublin-7/5697468,Node Dublin 7,True,True,14,7.0
5697466,"Node Dublin 7, Phibsborough, D07 V10E, Dublin 7",1.0,,1925,,Rent,http://www.daft.ie/for-rent/studio-apartment-roomy-studio-bills-included-node-dublin-7-phibsborough-d07-v10e-dublin-7/5697466,Node Dublin 7,True,True,14,7.0
5698878,"Node Dublin 7, Phibsborough, D07 V10E, Dublin 7",1.0,,2400,,Rent,http://www.daft.ie/for-rent/studio-apartment-penthouse-studio-bills-included-node-dublin-7-phibsborough-d07-v10e-dublin-7/5698878,Node Dublin 7,True,True,15,7.0
5952288,"Node Dublin 7, Phibsborough, D07 V10E, Dublin 7",1.0,,2550,,Rent,http://www.daft.ie/for-rent/studio-apartment-open-1-bed-corner-studio-bills-included-node-dublin-7-phibsborough-d07-v10e-dublin-7/5952288,Node Dublin 7,False,False,16,7.0
6217092,"11 Crosthwaite Park West, Crosthwaite Park West, Dun Laoghaire, Co. Dublin",1.0,,1600,SI_666,Rent,http://www.daft.ie/for-rent/studio-apartment-studio-11-crosthwaite-park-west-crosthwaite-park-west-dun-laoghaire-co-dublin/6217092,Haven Lettings Team,False,False,12,
6217091,"11 Crosthwaite Park West, Crosthwaite Park West, Dun Laoghaire, Co. Dublin",1.0,1.0,1900,SI_666,Rent,http://www.daft.ie/for-rent/apartment-one-bedroom-small-11-crosthwaite-park-west-crosthwaite-park-west-dun-laoghaire-co-dublin/6217091,Haven Lettings Team,False,False,14,
6217088,"11 Crosthwaite Park West, Crosthwaite Park West, Dun Laoghaire, Co. Dublin",1.0,1.0,2100,SI_666,Rent,http://www.daft.ie/for-rent/apartment-one-bedroom-large-11-crosthwaite-park-west-crosthwaite-park-west-dun-laoghaire-co-dublin/6217088,Haven Lettings Team,False,False,15,
6217087,"11 Crosthwaite Park West, Crosthwaite Park West, Dun Laoghaire, Co. Dublin",2.0,1.0,2600,SI_666,Rent,http://www.daft.ie/for-rent/apartment-two-bedroom-11-crosthwaite-park-west-crosthwaite-park-west-dun-laoghaire-co-dublin/6217087,Haven Lettings Team,False,False,15,
5525098,"The Lookout , Harbour Road, Dalkey, Co. Dublin",2.0,2.0,2900,A2,Rent,http://www.daft.ie/for-rent/apartment-2-bed-apartment-the-lookout-harbour-road-dalkey-co-dublin/5525098,The Lookout,False,True,12,
5356041,"Station View , The Crossings , Adamstown, Co. Dublin",1.0,1.0,1895,A2,Rent,http://www.daft.ie/for-rent/apartment-station-view-station-view-the-crossings-adamstown-co-dublin/5356041,Station View,False,False,7,
5830443,"Station View , The Crossings , Adamstown, Co. Dublin",2.0,2.0,2450,A2,Rent,http://www.daft.ie/for-rent/apartment-2-bed-duplex-station-view-station-view-the-crossings-adamstown-co-dublin/5830443,Station View,False,False,9,
5356040,"Station View , The Crossings , Adamstown, Co. Dublin",2.0,2.0,2500,A2,Rent,http://www.daft.ie/for-rent/apartment-station-view-station-view-the-crossings-adamstown-co-dublin/5356040,Station View,False,False,12,
5356039,"Station View , The Crossings , Adamstown, Co. Dublin",3.0,2.0,2802,A2,Rent,http://www.daft.ie/for-rent/apartment-station-view-station-view-station-view-the-crossings-adamstown-co-dublin/5356039,Station View,False,False,12,
2496747,"Sandford Lodge , Sandford Lodge, Ranelagh, Dublin 6",1.0,1.0,2099,C2,Rent,http://www.daft.ie/for-rent/apartment-one-bedroom-apartment-sandford-lodge-sandford-lodge-ranelagh-dublin-6/2496747,Letting Agent - Savills 002233.,False,True,6,6.0
5397900,"Bewley Gardens at Sandford Lodge, Sandford Lodge, Ranelagh, Dublin 6, Ranelagh, Dublin 6",2.0,2.0,4000,A2,Rent,http://www.daft.ie/for-rent/apartment-2-bedroom-duplex-bewley-gardens-at-sandford-lodge-sandford-lodge-ranelagh-dublin-6-ranelagh-dublin-6/5397900,Letting Agent - Savills 002233.,False,False,13,6.0
4526115,"The Davitt , Davitt Road , Dublin 12",1.0,1.0,2233,A2,Rent,http://www.daft.ie/for-rent/apartment-1-bed-the-davitt-davitt-road-dublin-12/4526115,Davitt Enquiries,False,True,10,12.0
4526116,"The Davitt , Davitt Road , Dublin 12",2.0,2.0,2538,A2,Rent,http://www.daft.ie/for-rent/apartment-2-bed-unit-the-davitt-davitt-road-dublin-12/4526116,Davitt Enquiries,False,True,10,12.0
5343986,"Kilcarbery Square , Kilcarbery Grange , Clondalkin, Dublin 22",2.0,2.0,2450,A2,Rent,http://www.daft.ie/for-rent/apartment-type-b-kilcarbery-square-kilcarbery-square-kilcarbery-grange-clondalkin-dublin-22/5343986,Kilcarberry Square Lettings Team,False,False,15,22.0
6181017,"Tara View , Merrion Road, Ballsbridge, Dublin 4, Dublin 4",2.0,2.0,3100,A2,Rent,http://www.daft.ie/for-rent/apartment-47-tara-view-tara-view-merrion-road-ballsbridge-dublin-4-dublin-4/6181017,Giedre Janusauskaite,False,True,10,4.0
6209958,"Opus, 6 Hanover Quay, Grand Canal Dock, Dublin 2",2.0,2.0,3210,A2,Rent,http://www.daft.ie/for-rent/apartment-two-bedroom-apartment-opus-6-hanover-quay-gran-opus-6-hanover-quay-grand-canal-dock-dublin-2/6209958,Opus Hanover Quay,True,False,21,2.0
6217739,"Opus, 6 Hanover Quay, Grand Canal Dock, Dublin 2",2.0,2.0,3582,A2,Rent,http://www.daft.ie/for-rent/apartment-two-bed-duplex-townhouse-opus-6-hanover-quay-g-opus-6-hanover-quay-grand-canal-dock-dublin-2/6217739,Opus Hanover Quay,False,False,15,2.0
6186863,"Opus, 6 Hanover Quay, Grand Canal Dock, Dublin 2",2.0,2.0,3950,A2,Rent,http://www.daft.ie/for-rent/apartment--water-facing-two-bedroom-apartment-opus-6-hano-opus-6-hanover-quay-grand-canal-dock-dublin-2/6186863,Opus Hanover Quay,False,False,15,2.0
6186539,"Opus, 6 Hanover Quay, Grand Canal Dock, Dublin 2",3.0,2.0,5950,A2,Rent,http://www.daft.ie/for-rent/apartment-three-bedroom-penthouse-opus-6-hanover-quay-gr-opus-6-hanover-quay-grand-canal-dock-dublin-2/6186539,Opus Hanover Quay,False,False,14,2.0
